Payment_Method;Issue_Date;Fulfillment_Date;Due_Date;Payment_Date;Net_Amount_HUF;Tax_Amount_HUF;Gross_Amount_HUF;Outstanding_Amount_HUF;Status;Invoice_ID;Destination;Days_Overdue;;;
átutalás;2025.01.14;2025.08.21;2025.01.17;2025.01.15;478091.22;2763.78;480855.0;0.0;Sikeres;INV_1000;Platamon;-2;;;
átutalás;2025.07.04;2025.08.21;2025.07.07;2025.07.06;701785.0;0.0;701785.0;0.0;Sikeres;INV_1001;Neoi Pori;-1;;;
átutalás;2025.04.09;2025.06.11;2025.04.12;2025.04.11;140826.28;9593.72;150420.0;0.0;Sikeres;INV_1002;Neoi Pori;-1;;;
átutalás;2025.04.22;2025.04.22;2025.04.25;2025.04.23;-39695.75;-2704.25;-42400.0;0.0;Sikeres (üzenettel);INV_1003;Neoi Pori;-2;;;
átutalás;2025.06.04;2025.06.11;2025.04.12;;-140826.28;-9593.72;-150420.0;-150420.0;Sikeres;INV_1004;Neoi Pori;0;;;
átutalás;2025.06.04;2025.06.11;2024.12.05;;-99083.15;-3196.85;-102280.0;-102280.0;Sikeres;INV_1005;Platamon;0;;;
átutalás;2025.06.04;2025.09.10;2025.06.04;2025.06.04;1574.8;425.2;2000.0;0.0;Sikeres;INV_1006;Neoi Pori;0;;;
átutalás;2025.05.13;2025.05.30;2025.05.16;2025.05.14;144332.2;637.8;144970.0;0.0;Sikeres;INV_1007;Neoi Pori;-2;;;
átutalás;2025.06.20;2025.09.17;2025.06.24;2025.06.23;80141.67;2658.33;82800.0;0.0;Sikeres;INV_1008;Platamon;-1;;;
átutalás;2025.08.07;2025.08.07;2025.08.10;2025.08.08;113482.68;7717.32;121200.0;0.0;Sikeres;INV_1009;Neoi Pori;-2;;;
átutalás;2025.08.07;2025.09.17;2025.08.10;2025.08.07;0.0;0.0;0.0;0.0;Sikeres;INV_1010;Neoi Pori;-3;;;
átutalás;2025.03.07;2025.08.26;2025.03.10;2025.03.10;164025.01;1062.99;165088.0;0.0;Sikeres;INV_1011;Platamon;0;;;
átutalás;2025.07.18;2025.08.26;2025.07.21;2025.07.25;247632.0;0.0;247632.0;0.0;Sikeres;INV_1012;Neoi Pori;4;;;
átutalás;2025.07.25;2025.08.26;2025.03.10;;-164025.01;-1062.99;-165088.0;-165088.0;Sikeres;INV_1013;Platamon;0;;;
átutalás;2025.07.25;2025.08.26;2025.07.21;;-247632.0;0.0;-247632.0;-247632.0;Sikeres;INV_1014;Platamon;0;;;
átutalás;2025.07.25;2025.08.26;2025.07.28;2025.07.25;164025.01;1062.99;165088.0;0.0;Sikeres;INV_1015;Platamon;-3;;;
átutalás;2025.01.13;2025.09.09;2025.01.16;2025.01.14;60359.8;425.2;60785.0;0.0;Sikeres;INV_1016;Platamon;-2;;;
átutalás;2025.07.23;2025.09.09;2025.08.02;2025.07.23;88175.0;0.0;88175.0;0.0;Sikeres;INV_1017;Neoi Pori;-10;;;
készpénz;2025.06.13;2025.07.07;2025.06.13;2025.06.13;139787.4;212.6;140000.0;0.0;Sikeres;INV_1018;Platamon;0;;;
átutalás;2025.05.29;2025.08.13;2025.06.01;2025.05.30;54301.76;3858.24;58160.0;0.0;Sikeres;INV_1019;Neoi Pori;-2;;;
átutalás;2025.06.26;2025.08.13;2025.07.04;2025.06.25;81675.87;5564.13;87240.0;0.0;Sikeres;INV_1020;Neoi Pori;-9;;;
átutalás;2025.06.02;2025.06.10;2025.06.04;2025.06.06;628000.0;0.0;628000.0;0.0;Sikeres;INV_1021;Platamon;2;;;
átutalás;2025.06.02;2025.06.10;2025.06.04;2025.06.02;396500.0;0.0;396500.0;0.0;Sikeres;INV_1022;Neoi Pori;-2;;;
átutalás;2025.06.04;2025.06.10;2025.06.07;2025.06.04;100000.0;0.0;100000.0;0.0;Sikeres;INV_1023;Platamon;-3;;;
átutalás;2025.06.11;2025.06.10;2025.06.14;2025.06.20;300000.0;0.0;300000.0;0.0;Sikeres;INV_1024;Neoi Pori;6;;;
átutalás;2025.06.20;2025.06.10;2025.06.14;;-300000.0;0.0;-300000.0;-300000.0;Sikeres;INV_1025;Neoi Pori;0;;;
átutalás;2025.06.20;2025.06.10;2025.06.23;2025.06.20;300000.0;0.0;300000.0;0.0;Sikeres;INV_1026;Neoi Pori;-3;;;
átutalás;2025.04.15;2025.07.17;2025.04.18;2025.04.16;155790.01;11089.99;166880.0;0.0;Sikeres;INV_1027;Platamon;-2;;;
átutalás;2025.05.21;2025.07.17;2025.06.06;2025.06.05;234354.71;15965.29;250320.0;0.0;Sikeres;INV_1028;Neoi Pori;-1;;;
átutalás;2025.06.17;2025.07.16;2025.06.20;2025.06.21;234955.84;16324.16;251280.0;0.0;Sikeres;INV_1029;Platamon;1;;;
átutalás;2025.06.27;2025.07.16;2025.06.30;2025.06.29;66603.7;márc.96;71300.0;0.0;Sikeres;INV_1030;Neoi Pori;-1;;;
átutalás;2025.02.14;2025.05.27;2025.02.17;2025.02.17;17874.8;425.2;18300.0;0.0;Sikeres;INV_1031;Platamon;0;;;
átutalás;2025.04.08;2025.05.26;2025.04.21;2025.04.09;45825.0;0.0;45825.0;0.0;Sikeres;INV_1032;Platamon;-12;;;
átutalás;2025.05.29;2025.09.24;2025.06.01;;62615.56;4742.44;67358.0;-2.0;Sikeres;INV_1033;Platamon;0;;;
átutalás;2025.08.07;2025.09.23;2025.08.15;2025.08.15;101037.0;0.0;101037.0;0.0;Sikeres;INV_1034;Platamon;0;;;
átutalás;2025.01.09;2025.08.04;2025.01.12;2025.01.13;116819.08;3700.92;120520.0;0.0;Sikeres;INV_1035;Platamon;1;;;
átutalás;2025.06.23;2025.08.04;2025.06.26;2025.06.24;166441.28;11338.72;177780.0;0.0;Sikeres;INV_1036;Neoi Pori;-2;;;
átutalás;2025.01.24;2025.10.07;2025.01.27;2025.01.27;185859.46;12820.54;198680.0;0.0;Sikeres;INV_1037;Platamon;0;;;
